型番,照会記号,器具種別,開口サイズ,W数,電流値
NNFB84665,E1a,非常照明,,,
NNFB84695,E1a黒,非常照明,,,
NNFB87609,E2a,非常照明,,,
NNFB87649,E2a黒,非常照明,,,
NNFB84005,E3a,非常照明,,,
NNFB84045,E3a黒,非常照明,,,
NNFB84715,E4a,非常照明,,,
NNLG01509,E5a,非常照明,,,
NNFB84105,E6a,非常照明,,,
NNFB87009,E7a,非常照明,,,
NNFB87049,E7a黒,非常照明,,,
NNFB87109,E8a,非常照明,,,
NNFB87919,E9a,非常照明,,,
FA40356C LE1,X1L,避難口誘導灯,,,
FA40352C LE1,X2,避難口誘導灯,,,
FA40316C LE1,X3L,避難口誘導灯,,,
FA40312C LE1,X4,避難口誘導灯,,,
FW42317C,X5Lu,避難口誘導灯,,,
FW42317C,X6u,避難口誘導灯,,,
FW42317C LE1,X7u,避難口誘導灯,,,
FW42337C LE1,X8u,避難口誘導灯,,,
FW40315 LE1,X9L,避難口誘導灯,,,
FW42327C LE1,X10u,避難口誘導灯,,,
FA40356C LE1,Y1L,通路誘導灯,,,
FA40366C LE1,Y2L,通路誘導灯,,,
FA40352C LE1,Y3,通路誘導灯,,,
FA40362C LE1,Y4,通路誘導灯,,,
FA40312C LE1,Y5,通路誘導灯,,,
FA40322C LE1,Y6,通路誘導灯,,,
FW42317C LE1,Y7u,通路誘導灯,,,
FW42337C LE1,Y8u,通路誘導灯,,,
FA01520J,Y9,通路誘導灯,,,
FSK90910K,自己点検リモコン,その他,,,
1,テスト1,test1,,,
2,テスト2,test2,,,
3,テスト3,test3,,,
4,テスト4,test4,,,
5,テスト5,test5,,,
6,テスト6,test6,,,
7,テスト7,test7,,,
8,テスト8,test8,,,
9,テスト9,test9,,,
10,テスト10,test10,,,
